name,enrollment,rank,tuitionFee,link,image_urls,images,location
Concordia College--Moorhead,2531,129,"$34,114 (2014-15)",/best-colleges/concordia-college-2346,http://colleges.usnews.rankingsandreviews.com/img/college-photo_11752._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_11752._130x0.jpg', 'path': 'full/fd319c1d219b28e2f2b43166b2c39c2e2f292210.jpg', 'checksum': '91b79ab587ef29af41254d3a7385eb27'}]","Moorhead, MN"
Goshen College,828,129,"$29,700 (2014-15)",/best-colleges/goshen-college-1799,http://colleges.usnews.rankingsandreviews.com/img/college-photo_5801._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_5801._130x0.jpg', 'path': 'full/5ff36a2d8c3827227008535e6debe0185f1ebb23.jpg', 'checksum': '33a6383d5237fd029b494d64fef6c15c'}]","Goshen, IN"
McDaniel College,1692,129,"$38,350 (2014-15)",/best-colleges/mcdaniel-college-2109,http://colleges.usnews.rankingsandreviews.com/img/college-photo_14014._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_14014._130x0.jpg', 'path': 'full/fb2ea15feb46e39294e77b3c17ed7a58e2df7bdc.jpg', 'checksum': '43257fd267d037dcf85a0a0ac0fa94b5'}]","Westminster, MD"
Morehouse College,2189,133,"$26,090 (2014-15)",/best-colleges/morehouse-college-1582,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Atlanta, GA"
Moravian College,1585,133,"$36,800 (2014-15)",/best-colleges/moravian-college-3301,http://colleges.usnews.rankingsandreviews.com/img/college-photo_15871._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_15871._130x0.jpg', 'path': 'full/eca2f4b89b5e4219914c48791b0004d347a31930.jpg', 'checksum': '96138b01489f7be94e9ecef0f4e2871f'}]","Bethlehem, PA"
Randolph College,665,133,"$34,107 (2014-15)",/best-colleges/randolph-college-3734,http://colleges.usnews.rankingsandreviews.com/img/college-photo_1098._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_1098._130x0.jpg', 'path': 'full/135a88f022d645e50b0b4990c0a3c76093375df1.jpg', 'checksum': 'dc6a522e28dcfbeb5ee74ecd0682cdc1'}]","Lynchburg, VA"
Roanoke College,2029,133,"$37,802 (2014-15)",/best-colleges/roanoke-college-3736,http://colleges.usnews.rankingsandreviews.com/img/college-photo_4865._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_4865._130x0.jpg', 'path': 'full/d20914db007598b2b4f5c4415604d51d2528288a.jpg', 'checksum': '19a51886ce8bf595d0cd67338bb6effc'}]","Salem, VA"
Wesleyan College,648,133,"$19,900 (2014-15)",/best-colleges/wesleyan-college-1600,http://colleges.usnews.rankingsandreviews.com/img/college-photo_2944._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_2944._130x0.jpg', 'path': 'full/932aacf7c05f602394b9b1a813b27a5a0d761438.jpg', 'checksum': 'cdad307bd9b80becb790a3ff9b167b36'}]","Macon, GA"
Whittier College,1695,133,"$41,711 (2014-15)",/best-colleges/whittier-college-1342,http://colleges.usnews.rankingsandreviews.com/img/college-photo_7414._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_7414._130x0.jpg', 'path': 'full/eff61508f510ec3d497ec6c6b7a1ac3ee6f0bd97.jpg', 'checksum': '7a2574c67064174dccae7e50fbd2d8b7'}]","Whittier, CA"
Principia College,480,139,"$26,850 (2014-15)",/best-colleges/principia-college-1744,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Elsah, IL"
